序號,項目描述,Google連結,開始日期,最後計入日期,期間總點擊數,備註
1,T1,http://goo.gl/eZml0W,,,,
2,T2,http://goo.gl/uDblK1,,,,
3,T3,http://goo.gl/5hjyCe,,,,
4,T4,http://goo.gl/g2JWzl,,,,
5,T5,http://goo.gl/1PH64o,,,,
6,T6,http://goo.gl/pZXLIZ,,,,
7,T7,http://goo.gl/bw74tz,,,,
8,T8,http://goo.gl/zSBKBZ,,,,
9,T9,http://goo.gl/H60qaM,,,,
10,T10,http://goo.gl/a2w5ZX,,,,
11,T11,http://goo.gl/pgMZ2B,,,,
12,T12,http://goo.gl/sY2xwr,,,,
13,T13,http://goo.gl/8rMAK8,,,,
14,T14,http://goo.gl/3GkxbG,,,,
15,T15,http://goo.gl/oUswRK,,,,
16,T16,http://goo.gl/Vqln5k,,,,
17,T17,http://goo.gl/aGjIWw,,,,
18,T18,http://goo.gl/NumWcf,,,,
19,T19,http://goo.gl/7WTIB8,,,,